Index,fname,label
0,XC528101 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
1,XC528631 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
2,XC535968 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
3,XC536600 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
4,XC536637 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
5,XC537722 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
6,XC540472 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
7,XC544195 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
8,XC545504 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
9,XC546629 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
10,XC546888 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
11,XC550820 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
12,XC552590 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
13,XC553232 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
14,XC553509 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
15,XC554747 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
16,XC555395 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
17,XC556852 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
18,XC558394 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
19,XC561192 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
20,XC568101 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
21,XC568102 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
22,XC568103 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
23,XC568105 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
24,XC568106 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
25,XC568107 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
26,XC568109 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
27,XC570646 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
28,XC571411 - Western Barn Owl - Tyto alba.wav,Barn Owl (Tyto Alba)
29,XC107110 - Brown Fish Owl - Ketupa zeylonensis.wav,Brown Fish Owl (Ketupa zeylonensis)
30,XC138097 - Brown Fish Owl - Ketupa zeylonensis.wav,Brown Fish Owl (Ketupa zeylonensis)
31,XC138098 - Brown Fish Owl - Ketupa zeylonensis(1).wav,Brown Fish Owl (Ketupa zeylonensis)
32,XC138098 - Brown Fish Owl - Ketupa zeylonensis(2).wav,Brown Fish Owl (Ketupa zeylonensis)
33,XC191580 - Brown Fish Owl - Ketupa zeylonensis(1).wav,Brown Fish Owl (Ketupa zeylonensis)
34,XC191580 - Brown Fish Owl - Ketupa zeylonensis(2).wav,Brown Fish Owl (Ketupa zeylonensis)
35,XC191580 - Brown Fish Owl - Ketupa zeylonensis(3).wav,Brown Fish Owl (Ketupa zeylonensis)
36,XC191580 - Brown Fish Owl - Ketupa zeylonensis(4).wav,Brown Fish Owl (Ketupa zeylonensis)
37,XC191580 - Brown Fish Owl - Ketupa zeylonensis(5).wav,Brown Fish Owl (Ketupa zeylonensis)
38,XC191580 - Brown Fish Owl - Ketupa zeylonensis(6).wav,Brown Fish Owl (Ketupa zeylonensis)
39,XC23920 - Brown Fish Owl - Ketupa zeylonensis(1).wav,Brown Fish Owl (Ketupa zeylonensis)
40,XC23920 - Brown Fish Owl - Ketupa zeylonensis(2).wav,Brown Fish Owl (Ketupa zeylonensis)
41,XC23920 - Brown Fish Owl - Ketupa zeylonensis(3).wav,Brown Fish Owl (Ketupa zeylonensis)
42,XC361783 - Brown Fish Owl - Ketupa zeylonensis.wav,Brown Fish Owl (Ketupa zeylonensis)
43,XC446902 - Brown Fish Owl - Ketupa zeylonensis.wav,Brown Fish Owl (Ketupa zeylonensis)
44,XC448847 - Brown Fish Owl - Ketupa zeylonensis(1).wav,Brown Fish Owl (Ketupa zeylonensis)
45,XC448847 - Brown Fish Owl - Ketupa zeylonensis(2).wav,Brown Fish Owl (Ketupa zeylonensis)
46,XC448847 - Brown Fish Owl - Ketupa zeylonensis(3).wav,Brown Fish Owl (Ketupa zeylonensis)
47,XC448847 - Brown Fish Owl - Ketupa zeylonensis(4).wav,Brown Fish Owl (Ketupa zeylonensis)
48,XC173119 - Brown Hawk-Owl - Ninox scutulata borneensis(1).wav,Brown Hawk Owl (Ninox Scutulata)
49,XC173119 - Brown Hawk-Owl - Ninox scutulata borneensis(2).wav,Brown Hawk Owl (Ninox Scutulata)
50,XC173119 - Brown Hawk-Owl - Ninox scutulata borneensis(3).wav,Brown Hawk Owl (Ninox Scutulata)
51,XC173119 - Brown Hawk-Owl - Ninox scutulata borneensis(4).wav,Brown Hawk Owl (Ninox Scutulata)
52,XC173119 - Brown Hawk-Owl - Ninox scutulata borneensis(5).wav,Brown Hawk Owl (Ninox Scutulata)
53,XC173119 - Brown Hawk-Owl - Ninox scutulata borneensis(6).wav,Brown Hawk Owl (Ninox Scutulata)
54,XC173119 - Brown Hawk-Owl - Ninox scutulata borneensis(7).wav,Brown Hawk Owl (Ninox Scutulata)
55,XC173119 - Brown Hawk-Owl - Ninox scutulata borneensis(8).wav,Brown Hawk Owl (Ninox Scutulata)
56,XC173119 - Brown Hawk-Owl - Ninox scutulata borneensis(9).wav,Brown Hawk Owl (Ninox Scutulata)
57,XC173119 - Brown Hawk-Owl - Ninox scutulata borneensis.wav,Brown Hawk Owl (Ninox Scutulata)
58,XC19607 - Brown Hawk-Owl - Ninox scutulata(1).wav,Brown Hawk Owl (Ninox Scutulata)
59,XC19607 - Brown Hawk-Owl - Ninox scutulata(2).wav,Brown Hawk Owl (Ninox Scutulata)
60,XC19607 - Brown Hawk-Owl - Ninox scutulata.wav,Brown Hawk Owl (Ninox Scutulata)
61,XC371369 - Brown Hawk-Owl - Ninox scutulata.wav,Brown Hawk Owl (Ninox Scutulata)
62,XC469356 - Brown Hawk-Owl - Ninox scutulata(1).wav,Brown Hawk Owl (Ninox Scutulata)
63,XC469356 - Brown Hawk-Owl - Ninox scutulata(2).wav,Brown Hawk Owl (Ninox Scutulata)
64,XC469356 - Brown Hawk-Owl - Ninox scutulata(3).wav,Brown Hawk Owl (Ninox Scutulata)
65,XC469356 - Brown Hawk-Owl - Ninox scutulata.wav,Brown Hawk Owl (Ninox Scutulata)
66,XC473542 - Brown Hawk-Owl - Ninox scutulata(1).wav,Brown Hawk Owl (Ninox Scutulata)
67,XC473542 - Brown Hawk-Owl - Ninox scutulata.wav,Brown Hawk Owl (Ninox Scutulata)
68,XC502383 - Brown Hawk-Owl - Ninox scutulata.wav,Brown Hawk Owl (Ninox Scutulata)
69,XC507988 - Brown Hawk-Owl - Ninox scutulata.wav,Brown Hawk Owl (Ninox Scutulata)
70,XC507989 - Brown Hawk-Owl - Ninox scutulata.wav,Brown Hawk Owl (Ninox Scutulata)
71,XC531877 - Brown Hawk-Owl - Ninox scutulata.wav,Brown Hawk Owl (Ninox Scutulata)
72,XC546664 - Brown Hawk-Owl - Ninox scutulata.wav,Brown Hawk Owl (Ninox Scutulata)
73,XC550452 - Brown Hawk-Owl - Ninox scutulata.wav,Brown Hawk Owl (Ninox Scutulata)
74,XC114849 - Brown Wood Owl - Strix leptogrammica newarensis(1).wav,Brown Wood Owl (Strix leptogrammica)
75,XC114849 - Brown Wood Owl - Strix leptogrammica newarensis(2).wav,Brown Wood Owl (Strix leptogrammica)
76,XC114849 - Brown Wood Owl - Strix leptogrammica newarensis(3).wav,Brown Wood Owl (Strix leptogrammica)
77,XC114850 - Brown Wood Owl - Strix leptogrammica newarensis(1).wav,Brown Wood Owl (Strix leptogrammica)
78,XC114850 - Brown Wood Owl - Strix leptogrammica newarensis(2).wav,Brown Wood Owl (Strix leptogrammica)
79,XC114850 - Brown Wood Owl - Strix leptogrammica newarensis(3).wav,Brown Wood Owl (Strix leptogrammica)
80,XC114850 - Brown Wood Owl - Strix leptogrammica newarensis(4).wav,Brown Wood Owl (Strix leptogrammica)
81,XC142617 - Brown Wood Owl - Strix leptogrammica maingayi(1).wav,Brown Wood Owl (Strix leptogrammica)
82,XC142617 - Brown Wood Owl - Strix leptogrammica maingayi(2).wav,Brown Wood Owl (Strix leptogrammica)
83,XC142617 - Brown Wood Owl - Strix leptogrammica maingayi(3).wav,Brown Wood Owl (Strix leptogrammica)
84,XC142617 - Brown Wood Owl - Strix leptogrammica maingayi(4).wav,Brown Wood Owl (Strix leptogrammica)
85,XC142617 - Brown Wood Owl - Strix leptogrammica maingayi(5).wav,Brown Wood Owl (Strix leptogrammica)
86,XC151382 - Brown Wood Owl - Strix leptogrammica(1).wav,Brown Wood Owl (Strix leptogrammica)
87,XC151382 - Brown Wood Owl - Strix leptogrammica(2).wav,Brown Wood Owl (Strix leptogrammica)
88,XC151382 - Brown Wood Owl - Strix leptogrammica(3).wav,Brown Wood Owl (Strix leptogrammica)
89,XC151382 - Brown Wood Owl - Strix leptogrammica(4).wav,Brown Wood Owl (Strix leptogrammica)
90,XC151382 - Brown Wood Owl - Strix leptogrammica(5).wav,Brown Wood Owl (Strix leptogrammica)
91,XC151383 - Brown Wood Owl - Strix leptogrammica(1).wav,Brown Wood Owl (Strix leptogrammica)
92,XC151383 - Brown Wood Owl - Strix leptogrammica(2).wav,Brown Wood Owl (Strix leptogrammica)
93,XC151383 - Brown Wood Owl - Strix leptogrammica(3).wav,Brown Wood Owl (Strix leptogrammica)
94,XC163479 - Brown Wood Owl - Strix leptogrammica.wav,Brown Wood Owl (Strix leptogrammica)
95,XC179449 - Brown Wood Owl - Strix leptogrammica(1).wav,Brown Wood Owl (Strix leptogrammica)
96,XC179449 - Brown Wood Owl - Strix leptogrammica(2).wav,Brown Wood Owl (Strix leptogrammica)
97,XC179449 - Brown Wood Owl - Strix leptogrammica(3).wav,Brown Wood Owl (Strix leptogrammica)
98,XC179449 - Brown Wood Owl - Strix leptogrammica(4).wav,Brown Wood Owl (Strix leptogrammica)
99,XC179449 - Brown Wood Owl - Strix leptogrammica(5).wav,Brown Wood Owl (Strix leptogrammica)
100,XC179449 - Brown Wood Owl - Strix leptogrammica(6).wav,Brown Wood Owl (Strix leptogrammica)
101,XC179449 - Brown Wood Owl - Strix leptogrammica(7).wav,Brown Wood Owl (Strix leptogrammica)
102,XC179449 - Brown Wood Owl - Strix leptogrammica(8).wav,Brown Wood Owl (Strix leptogrammica)
103,XC179449 - Brown Wood Owl - Strix leptogrammica(9).wav,Brown Wood Owl (Strix leptogrammica)
104,XC179946 - Brown Wood Owl - Strix leptogrammica.wav,Brown Wood Owl (Strix leptogrammica)
105,XC196966 - Brown Wood Owl - Strix leptogrammica(1).wav,Brown Wood Owl (Strix leptogrammica)
106,XC196966 - Brown Wood Owl - Strix leptogrammica(2).wav,Brown Wood Owl (Strix leptogrammica)
107,XC196966 - Brown Wood Owl - Strix leptogrammica(3).wav,Brown Wood Owl (Strix leptogrammica)
108,XC196966 - Brown Wood Owl - Strix leptogrammica(4).wav,Brown Wood Owl (Strix leptogrammica)
109,XC196966 - Brown Wood Owl - Strix leptogrammica(5).wav,Brown Wood Owl (Strix leptogrammica)
110,XC196967 - Brown Wood Owl - Strix leptogrammica(1).wav,Brown Wood Owl (Strix leptogrammica)
111,XC196967 - Brown Wood Owl - Strix leptogrammica(2).wav,Brown Wood Owl (Strix leptogrammica)
112,XC196967 - Brown Wood Owl - Strix leptogrammica(3).wav,Brown Wood Owl (Strix leptogrammica)
113,XC196967 - Brown Wood Owl - Strix leptogrammica(4).wav,Brown Wood Owl (Strix leptogrammica)
114,XC203823 - Brown Wood Owl - Strix leptogrammica(1).wav,Brown Wood Owl (Strix leptogrammica)
115,XC203823 - Brown Wood Owl - Strix leptogrammica(2).wav,Brown Wood Owl (Strix leptogrammica)
116,XC203823 - Brown Wood Owl - Strix leptogrammica(3).wav,Brown Wood Owl (Strix leptogrammica)
117,XC203823 - Brown Wood Owl - Strix leptogrammica(4).wav,Brown Wood Owl (Strix leptogrammica)
118,XC206564 - Brown Wood Owl - Strix leptogrammica ticehursti(1).wav,Brown Wood Owl (Strix leptogrammica)
119,XC206564 - Brown Wood Owl - Strix leptogrammica ticehursti(2).wav,Brown Wood Owl (Strix leptogrammica)
120,XC206564 - Brown Wood Owl - Strix leptogrammica ticehursti(3).wav,Brown Wood Owl (Strix leptogrammica)
121,XC209940 - Brown Wood Owl - Strix leptogrammica(1).wav,Brown Wood Owl (Strix leptogrammica)
122,XC209940 - Brown Wood Owl - Strix leptogrammica(2).wav,Brown Wood Owl (Strix leptogrammica)
123,XC209940 - Brown Wood Owl - Strix leptogrammica(3).wav,Brown Wood Owl (Strix leptogrammica)
124,XC21878 - Brown Wood Owl - Strix leptogrammica.wav,Brown Wood Owl (Strix leptogrammica)
125,XC303559 - Brown Wood Owl - Strix leptogrammica maingayi(1).wav,Brown Wood Owl (Strix leptogrammica)
126,XC303559 - Brown Wood Owl - Strix leptogrammica maingayi(2).wav,Brown Wood Owl (Strix leptogrammica)
127,XC303559 - Brown Wood Owl - Strix leptogrammica maingayi(3).wav,Brown Wood Owl (Strix leptogrammica)
128,XC303559 - Brown Wood Owl - Strix leptogrammica maingayi(4).wav,Brown Wood Owl (Strix leptogrammica)
129,XC303757 - Brown Wood Owl - Strix leptogrammica maingayi(1).wav,Brown Wood Owl (Strix leptogrammica)
130,XC303757 - Brown Wood Owl - Strix leptogrammica maingayi(10).wav,Brown Wood Owl (Strix leptogrammica)
131,XC303757 - Brown Wood Owl - Strix leptogrammica maingayi(11).wav,Brown Wood Owl (Strix leptogrammica)
132,XC303757 - Brown Wood Owl - Strix leptogrammica maingayi(12).wav,Brown Wood Owl (Strix leptogrammica)
133,XC303757 - Brown Wood Owl - Strix leptogrammica maingayi(13).wav,Brown Wood Owl (Strix leptogrammica)
134,XC303757 - Brown Wood Owl - Strix leptogrammica maingayi(14).wav,Brown Wood Owl (Strix leptogrammica)
135,XC303757 - Brown Wood Owl - Strix leptogrammica maingayi(15).wav,Brown Wood Owl (Strix leptogrammica)
136,XC303757 - Brown Wood Owl - Strix leptogrammica maingayi(16).wav,Brown Wood Owl (Strix leptogrammica)
137,XC303757 - Brown Wood Owl - Strix leptogrammica maingayi(17).wav,Brown Wood Owl (Strix leptogrammica)
138,XC303757 - Brown Wood Owl - Strix leptogrammica maingayi(2).wav,Brown Wood Owl (Strix leptogrammica)
139,XC303757 - Brown Wood Owl - Strix leptogrammica maingayi(3).wav,Brown Wood Owl (Strix leptogrammica)
140,XC303757 - Brown Wood Owl - Strix leptogrammica maingayi(4).wav,Brown Wood Owl (Strix leptogrammica)
141,XC303757 - Brown Wood Owl - Strix leptogrammica maingayi(5).wav,Brown Wood Owl (Strix leptogrammica)
142,XC303757 - Brown Wood Owl - Strix leptogrammica maingayi(6).wav,Brown Wood Owl (Strix leptogrammica)
143,XC303757 - Brown Wood Owl - Strix leptogrammica maingayi(7).wav,Brown Wood Owl (Strix leptogrammica)
144,XC303757 - Brown Wood Owl - Strix leptogrammica maingayi(8).wav,Brown Wood Owl (Strix leptogrammica)
145,XC303757 - Brown Wood Owl - Strix leptogrammica maingayi(9).wav,Brown Wood Owl (Strix leptogrammica)
146,XC319385 - Brown Wood Owl - Strix leptogrammica(1).wav,Brown Wood Owl (Strix leptogrammica)
147,XC319385 - Brown Wood Owl - Strix leptogrammica(2).wav,Brown Wood Owl (Strix leptogrammica)
148,XC319385 - Brown Wood Owl - Strix leptogrammica(3).wav,Brown Wood Owl (Strix leptogrammica)
149,XC319385 - Brown Wood Owl - Strix leptogrammica(4).wav,Brown Wood Owl (Strix leptogrammica)
150,XC330201 - Brown Wood Owl - Strix leptogrammica(1).wav,Brown Wood Owl (Strix leptogrammica)
151,XC330201 - Brown Wood Owl - Strix leptogrammica(2).wav,Brown Wood Owl (Strix leptogrammica)
152,XC330201 - Brown Wood Owl - Strix leptogrammica(3).wav,Brown Wood Owl (Strix leptogrammica)
153,XC330201 - Brown Wood Owl - Strix leptogrammica(4).wav,Brown Wood Owl (Strix leptogrammica)
154,XC338700 - Brown Wood Owl - Strix leptogrammica(1).wav,Brown Wood Owl (Strix leptogrammica)
155,XC338700 - Brown Wood Owl - Strix leptogrammica(2).wav,Brown Wood Owl (Strix leptogrammica)
156,XC355111 - Brown Wood Owl - Strix leptogrammica(1).wav,Brown Wood Owl (Strix leptogrammica)
157,XC355111 - Brown Wood Owl - Strix leptogrammica(2).wav,Brown Wood Owl (Strix leptogrammica)
158,XC355111 - Brown Wood Owl - Strix leptogrammica(3).wav,Brown Wood Owl (Strix leptogrammica)
159,XC355111 - Brown Wood Owl - Strix leptogrammica(4).wav,Brown Wood Owl (Strix leptogrammica)
160,XC355112 - Brown Wood Owl - Strix leptogrammica(1).wav,Brown Wood Owl (Strix leptogrammica)
